address,zip_code,price,sell_date,sell_type,price_per_sq_m,no_rooms,housing_type,size_in_sq_m,year_of_construction,price_change_in_pct
"Rådmandsgade 40C, 1. 892200 København N",vn N,1.148.000,09-02-2016,Alm. Salg,23.916,1,Lejlighed,48,1967,0 %,Aktuel værdi
"Peblinge Dossering 28, 1. TH2200 København N",vn N,3.995.000,08-02-2016,Alm. Salg,51.883,3,Lejlighed,77,1880,0 %,Aktuel værdi
"Schleppegrellsgade 6, ST. TV2200 København N",vn N,3.950.000,08-02-2016,Alm. Salg,42.021,3,Lejlighed,94,1892,-6 %,Aktuel værdi
"Sandbjerggade 46, 4. TH2200 København N",vn N,1.995.000,08-02-2016,Alm. Salg,38.365,2,Lejlighed,52,1935,,Aktuel værdi
"Ægirsgade 35, 1. TH2200 København N",vn N,1.270.000,05-02-2016,Fam. Salg,25.400,2,Lejlighed,50,1902,,Aktuel værdi
"Dagmarsgade 19, 3. 4132200 København N",vn N,800.000,05-02-2016,Andet,13.559,2,Lejlighed,59,1974,,Aktuel værdi
"Nørre Allé 9, 2. TV2200 København N",vn N,4.200.000,05-02-2016,Alm. Salg,44.210,4,Lejlighed,95,1888,0 %,Aktuel værdi
"Egegade 12, 2. TV2200 København N",vn N,1.600.000,04-02-2016,Fam. Salg,29.629,2,Lejlighed,54,1893,,Aktuel værdi
"Frederik VIIs Gade 9, ST. TH2200 København N",vn N,3.101.000,04-02-2016,Alm. Salg,36.058,3,Lejlighed,86,1859,4 %,Aktuel værdi
"Heimdalsgade 42, 4. 402200 København N",vn N,1.125.000,03-02-2016,Alm. Salg,22.959,1,Lejlighed,49,1975,-6 %,Aktuel værdi
"Tagensvej 75, 3. TH2200 København N",vn N,2.745.000,03-02-2016,Alm. Salg,33.888,3,Lejlighed,81,1902,0 %,Aktuel værdi
"Sorgenfrigade 9, 52200 København N",vn N,2.745.000,02-02-2016,Alm. Salg,42.230,2,Lejlighed,65,1932,-2 %,Aktuel værdi
"Dagmarsgade 24, 3. 1192200 København N",vn N,1.615.000,02-02-2016,Alm. Salg,37.558,2,Lejlighed,43,1974,-5 %,Aktuel værdi
"Uffesgade 10, 3. TH2200 København N",vn N,1.960.000,02-02-2016,Alm. Salg,36.981,2,Lejlighed,53,1901,-2 %,Aktuel værdi
"Blågårdsgade 16B, 3. TV2200 København N",vn N,3.495.000,02-02-2016,Alm. Salg,48.541,3,Lejlighed,72,1990,0 %,Aktuel værdi
"Søllerødgade 32, 5. TV2200 København N",vn N,1.200.000,01-02-2016,Fam. Salg,16.901,2,Lejlighed,71,1932,,Aktuel værdi
"Tagensvej 47, 1. 32200 København N",vn N,1.050.000,31-01-2016,Alm. Salg,24.418,1,Lejlighed,43,1966,-5 %,Aktuel værdi
"Dagmarsgade 17, 3. 4102200 København N",vn N,671.500,29-01-2016,Fam. Salg,14.287,1,Lejlighed,47,1974,,Aktuel værdi
"Husumgade 1, 4. 62200 København N",vn N,2.995.000,29-01-2016,Alm. Salg,41.027,2,Lejlighed,73,1985,0 %,Aktuel værdi
"Dagmarsgade 24, 1. 1022200 København N",vn N,1.595.000,29-01-2016,Alm. Salg,31.900,2,Lejlighed,50,1974,0 %,Aktuel værdi
"Blågårdsgade 24, 2. TV2200 København N",vn N,3.310.000,29-01-2016,Alm. Salg,37.613,3,Lejlighed,88,1872,-1 %,Aktuel værdi
"Poppelgade 5, 3. TH2200 København N",vn N,2.595.000,29-01-2016,Alm. Salg,47.181,2,Lejlighed,55,1860,0 %,Aktuel værdi
"Åboulevard 34D, 1. TH2200 København N",vn N,731.000,29-01-2016,Fam. Salg,17.404,2,Lejlighed,42,1885,,Aktuel værdi
"Sigynsgade 66, 4. TV2200 København N",vn N,2.250.000,29-01-2016,Alm. Salg,34.090,2,Lejlighed,66,1991,-7 %,Aktuel værdi
"Thyrasgade 4, 1. 2012200 København N",vn N,1.745.000,29-01-2016,Alm. Salg,26.846,2,Lejlighed,65,1974,3 %,Aktuel værdi
"Thyrasgade 4, 4. 5092200 København N",vn N,1.900.000,28-01-2016,Alm. Salg,31.666,2,Lejlighed,60,1974,,Aktuel værdi
"Dagmarsgade 24, 4. 1292200 København N",vn N,1.900.000,28-01-2016,Alm. Salg,33.333,1,Lejlighed,57,1974,,Aktuel værdi
"Gormsgade 10, 6. 872200 København N",vn N,1.412.500,28-01-2016,Alm. Salg,30.706,1,Lejlighed,46,1965,-6 %,Aktuel værdi
"Ægirsgade 18, 5. TV2200 København N",vn N,2.450.000,28-01-2016,Alm. Salg,35.000,2,Lejlighed,70,1903,0 %,Aktuel værdi
"Vølundsgade 10, 1. TV2200 København N",vn N,2.195.000,28-01-2016,Alm. Salg,38.508,2,Lejlighed,57,1903,0 %,Aktuel værdi
"Heimdalsgade 40, 1. TH2200 København N",vn N,3.395.000,27-01-2016,Alm. Salg,30.863,5,Lejlighed,110,1934,0 %,Aktuel værdi
"Esromgade 28, ST. TV2200 København N",vn N,1.545.000,27-01-2016,Alm. Salg,30.900,2,Lejlighed,50,1904,3 %,Aktuel værdi
"Dagmarsgade 26, 3. 1682200 København N",vn N,1.700.000,27-01-2016,Alm. Salg,29.310,2,Lejlighed,58,1974,,Aktuel værdi
"Sigynsgade 66, 3. TV2200 København N",vn N,2.105.000,27-01-2016,Alm. Salg,31.893,2,Lejlighed,66,1991,0 %,Aktuel værdi
"Dagmarsgade 17, 3. 4032200 København N",vn N,1.724.000,27-01-2016,Alm. Salg,29.220,2,Lejlighed,59,1974,-1 %,Aktuel værdi
"Gormsgade 6, ST. 32200 København N",vn N,2.698.000,26-01-2016,Alm. Salg,32.506,3,Lejlighed,83,1965,0 %,Aktuel værdi
"Nørrebrogade 180A, 4. TV2200 København N",vn N,4.100.000,26-01-2016,Alm. Salg,35.344,4,Lejlighed,116,1905,-2 %,Aktuel værdi
"Julius Bloms Gade 25, ST. TH2200 København N",vn N,2.600.000,26-01-2016,Alm. Salg,38.235,3,Lejlighed,68,1934,-4 %,Aktuel værdi
"Baldersgade 73, 4. TH2200 København N",vn N,3.795.000,25-01-2016,Alm. Salg,43.125,3,Lejlighed,88,1903,0 %,Aktuel værdi
"Sandbjerggade 40, 3. TV2200 København N",vn N,1.825.000,24-01-2016,Alm. Salg,35.096,2,Lejlighed,52,1935,,Aktuel værdi
"Thyrasgade 4, 2. 3062200 København N",vn N,1.210.000,21-01-2016,Andet,20.166,2,Lejlighed,60,1974,,Aktuel værdi
"Sorgenfrigade 11, ST. TV2200 København N",vn N,1.970.000,21-01-2016,Alm. Salg,36.481,2,Lejlighed,54,1932,-1 %,Aktuel værdi
"Thorsgade 76, 2. TH2200 København N",vn N,2.980.000,21-01-2016,Alm. Salg,41.388,3,Lejlighed,72,1906,-1 %,Aktuel værdi
"Slejpnersgade 2, 1. TV2200 København N",vn N,2.325.000,20-01-2016,Alm. Salg,36.328,3,Lejlighed,64,1938,1 %,Aktuel værdi
"Peter Fabers Gade 26, 2. TV2200 København N",vn N,1.850.000,20-01-2016,Alm. Salg,37.755,2,Lejlighed,49,1895,-5 %,Aktuel værdi
"Poppelgade 10, 5. TH2200 København N",vn N,2.200.000,20-01-2016,Alm. Salg,43.137,2,Lejlighed,51,1889,-4 %,Aktuel værdi
"Ahornsgade 21, 4. TV2200 København N",vn N,1.590.000,20-01-2016,Fam. Salg,30.000,2,Lejlighed,53,1889,,Aktuel værdi
"Thyrasgade 4, 1. 2142200 København N",vn N,1.695.000,20-01-2016,Alm. Salg,28.250,2,Lejlighed,60,1974,0 %,Aktuel værdi
"Rantzausgade 50A, ST. TV2200 København N",vn N,1.795.000,18-01-2016,Alm. Salg,40.795,2,Lejlighed,44,1889,0 %,Aktuel værdi
"Allersgade 2, 3. TH2200 København N",vn N,2.050.000,18-01-2016,Alm. Salg,31.060,2,Lejlighed,66,1990,-7 %,Aktuel værdi
"Sigynsgade 66, ST. TV2200 København N",vn N,2.425.000,18-01-2016,Alm. Salg,29.938,3,Lejlighed,81,1991,-3 %,Aktuel værdi
"Baldersgade 75, 1. TH2200 København N",vn N,1.400.000,16-01-2016,Fam. Salg,18.666,3,Lejlighed,75,1901,,Aktuel værdi
"Åboulevard 60, 2. TH2200 København N",vn N,1.000.000,15-01-2016,Alm. Salg,6.451,6,Lejlighed,155,1903,,Aktuel værdi
"Sigynsgade 46, ST. TV2200 København N",vn N,2.380.000,14-01-2016,Alm. Salg,29.024,3,Lejlighed,82,1991,0 %,Aktuel værdi
"Ørholmgade 4, 4. TV2200 København N",vn N,2.045.000,14-01-2016,Alm. Salg,39.326,2,Lejlighed,52,1935,-2 %,Aktuel værdi
"Sorgenfrigade 8H, ST2200 København N",vn N,3.700.000,14-01-2016,Alm. Salg,32.456,3,Lejlighed,114,1933,-4 %,Aktuel værdi
"Hamletsgade 8, 4. 1252200 København N",vn N,1.060.000,14-01-2016,Alm. Salg,24.090,1,Lejlighed,44,1975,-3 %,Aktuel værdi
"Ahornsgade 16, 4. TV2200 København N",vn N,3.230.000,14-01-2016,Alm. Salg,47.500,4,Lejlighed,68,1886,1 %,Aktuel værdi
"Meinungsgade 16, 2. TH2200 København N",vn N,2.050.000,14-01-2016,Alm. Salg,38.679,2,Lejlighed,53,1910,-2 %,Aktuel værdi
"Peter Fabers Gade 36, 3. TH2200 København N",vn N,1.925.000,14-01-2016,Alm. Salg,42.777,2,Lejlighed,45,1883,2 %,Aktuel værdi
Wesselsgade 212200 København N,vn N,6.995.000,14-01-2016,Alm. Salg,43.993,6,Villa,159,1852,0 %,Aktuel værdi
"Åboulevard 18, ST. TH2200 København N",vn N,4.150.000,13-01-2016,Alm. Salg,26.774,5,Lejlighed,155,1896,-5 %,Aktuel værdi
"Rantzausgade 50B, 5. TV2200 København N",vn N,1.745.000,13-01-2016,Alm. Salg,43.625,2,Lejlighed,40,1889,0 %,Aktuel værdi
"Husumgade 10A, 42200 København N",vn N,1.760.000,13-01-2016,Alm. Salg,38.260,2,Lejlighed,46,1904,,Aktuel værdi
"Jagtvej 27, 1. TV2200 København N",vn N,3.600.000,13-01-2016,Alm. Salg,38.709,4,Lejlighed,93,1899,0 %,Aktuel værdi
"Gormsgade 1, 3. TV2200 København N",vn N,1.402.500,13-01-2016,Fam. Salg,14.458,3,Lejlighed,97,1905,,Aktuel værdi
"Rådmandsgade 40C, 3. 1142200 København N",vn N,650.000,12-01-2016,Fam. Salg,13.541,1,Lejlighed,48,1967,,Aktuel værdi
"Sorgenfrigade 11, ST. TH2200 København N",vn N,2.000.000,11-01-2016,Alm. Salg,41.666,1,Lejlighed,48,1932,-9 %,Aktuel værdi
"Baldersgade 73, 1. TH2200 København N",vn N,2.195.000,11-01-2016,Alm. Salg,39.196,2,Lejlighed,56,1903,0 %,Aktuel værdi
"Nørre Sideallé 5, 1. TH2200 København N",vn N,2.300.000,11-01-2016,Alm. Salg,46.000,2,Lejlighed,50,1901,-2 %,Aktuel værdi
"Nordre Fasanvej 246, ST. TV2200 København N",vn N,1.637.500,11-01-2016,Alm. Salg,23.063,2,Lejlighed,71,1897,-9 %,Aktuel værdi
"Egegade 12, ST. TH2200 København N",vn N,1.900.000,10-01-2016,Alm. Salg,36.538,2,Lejlighed,52,1893,0 %,Aktuel værdi
"Jagtvej 141, 2. D2200 København N",vn N,1.000.000,08-01-2016,Alm. Salg,18.518,1,Lejlighed,54,1970,1 %,Aktuel værdi
"Åboulevard 34E, 4. TV2200 København N",vn N,1.690.000,07-01-2016,Alm. Salg,39.302,2,Lejlighed,43,1885,-5 %,Aktuel værdi
"Rantzausgade 54, 1. TH2200 København N",vn N,1.350.000,06-01-2016,Alm. Salg,28.723,2,Lejlighed,47,1889,-7 %,Aktuel værdi
"Sigynsgade 66, ST. TH2200 København N",vn N,1.835.000,06-01-2016,Alm. Salg,32.767,2,Lejlighed,56,1991,,Aktuel værdi
"Birkegade 15B, 4. TV2200 København N",vn N,1.471.000,05-01-2016,Fam. Salg,28.288,2,Lejlighed,52,1892,,Aktuel værdi
"Blågårdsgade 26, 3. 202200 København N",vn N,1.105.000,05-01-2016,Fam. Salg,14.932,2,Lejlighed,74,1972,,Aktuel værdi
"Rådmandsgade 40B, 1. TH2200 København N",vn N,1.750.000,05-01-2016,Alm. Salg,32.407,2,Lejlighed,54,1899,-1 %,Aktuel værdi
"Jagtvej 145, 2. 32200 København N",vn N,1.758.000,05-01-2016,Alm. Salg,24.416,3,Lejlighed,72,1978,-2 %,Aktuel værdi
"Julius Bloms Gade 6, 3. TV2200 København N",vn N,4.350.000,05-01-2016,Alm. Salg,37.500,4,Lejlighed,116,1908,-3 %,Aktuel værdi
"Ole Jørgensens Gade 8, 4. TV2200 København N",vn N,850.000,04-01-2016,Fam. Salg,15.454,2,Lejlighed,55,1901,,Aktuel værdi
"Poppelgade 7, 5. TV2200 København N",vn N,1.020.000,04-01-2016,Fam. Salg,20.000,2,Lejlighed,51,1889,,Aktuel værdi
"Dagmarsgade 26, 2. 1572200 København N",vn N,1.895.000,04-01-2016,Alm. Salg,32.672,2,Lejlighed,58,1974,0 %,Aktuel værdi
"Heimdalsgade 42, 2. 182200 København N",vn N,999.000,04-01-2016,Alm. Salg,20.812,1,Lejlighed,48,1975,0 %,Aktuel værdi
"Tagensvej 53, 1. TH2200 København N",vn N,1.348.308,03-01-2016,Alm. Salg,20.428,3,Lejlighed,66,1933,,Aktuel værdi
"Thyrasgade 4, 2. 3012200 København N",vn N,1.550.000,03-01-2016,Alm. Salg,23.846,2,Lejlighed,65,1974,-3 %,Aktuel værdi
"Slejpnersgade 6, 3. 12200 København N",vn N,654.500,01-01-2016,Fam. Salg,15.583,1,Lejlighed,42,1938,,Aktuel værdi
"Slejpnersgade 6, 5. 22200 København N",vn N,1.020.000,30-12-2015,Fam. Salg,23.181,2,Lejlighed,44,1938,,Aktuel værdi
"Ægirsgade 35, 3. TH2200 København N",vn N,779.676,28-12-2015,Andet,15.593,2,Lejlighed,50,1902,,Aktuel værdi
"Bjelkes Allé 37, ST2200 København N",vn N,1.347.500,28-12-2015,Alm. Salg,15.140,3,Lejlighed,89,1884,,Aktuel værdi
"Heimdalsgade 42, 3. 322200 København N",vn N,1.025.000,28-12-2015,Alm. Salg,21.354,1,Lejlighed,48,1975,-6 %,Aktuel værdi
"Ægirsgade 18, 2. TV2200 København N",vn N,2.425.000,27-12-2015,Alm. Salg,38.492,2,Lejlighed,63,1903,,Aktuel værdi
"Rådmandsgade 40C, 3. 1132200 København N",vn N,610.000,27-12-2015,Fam. Salg,12.708,1,Lejlighed,48,1967,,Aktuel værdi
"Sankt Hans Gade 2, 1. TH2200 København N",vn N,1.827.550,27-12-2015,Fam. Salg,21.006,3,Lejlighed,87,1892,,Aktuel værdi
"Baldersgade 71, 4. TV2200 København N",vn N,3.145.000,23-12-2015,Alm. Salg,37.000,3,Lejlighed,85,1903,0 %,Aktuel værdi
"Sorgenfrigade 11, 5. TV2200 København N",vn N,4.500.000,23-12-2015,Alm. Salg,43.269,3,Lejlighed,104,1932,0 %,Aktuel værdi
"Solitudevej 4, 4. TH2200 København N",vn N,3.575.000,23-12-2015,Alm. Salg,43.597,3,Lejlighed,82,1892,-3 %,Aktuel værdi
"Hamletsgade 30, ST. TH2200 København N",vn N,1.705.000,22-12-2015,Alm. Salg,27.500,2,Lejlighed,62,1938,3 %,Aktuel værdi
"Rådmandsgade 48B, 4. TH2200 København N",vn N,1.935.000,22-12-2015,Alm. Salg,35.181,2,Lejlighed,55,1933,-3 %,Aktuel værdi
"Rådmandsgade 40A, 2. TV2200 København N",vn N,2.575.000,22-12-2015,Alm. Salg,34.333,3,Lejlighed,75,1899,-4 %,Aktuel værdi
"Dagmarsgade 19, ST. 1172200 København N",vn N,1.400.000,22-12-2015,Alm. Salg,23.728,2,Lejlighed,59,1974,-6 %,Aktuel værdi
"Heimdalsgade 42, 5. 572200 København N",vn N,1.081.250,22-12-2015,Alm. Salg,22.526,1,Lejlighed,48,1975,-6 %,Aktuel værdi
"Hamletsgade 21, 3. TH2200 København N",vn N,1.950.000,22-12-2015,Alm. Salg,29.545,3,Lejlighed,66,1947,-2 %,Aktuel værdi
"Rådmandsgade 40C, 3. 1052200 København N",vn N,2.300.000,22-12-2015,Alm. Salg,34.328,3,Lejlighed,67,1967,-2 %,Aktuel værdi
"Sortedam Dossering 41D, ST. TV2200 København N",vn N,1.950.000,22-12-2015,Alm. Salg,32.500,2,Lejlighed,60,1963,,Aktuel værdi
"Peter Fabers Gade 41, 5. TV2200 København N",vn N,1.109.000,21-12-2015,Fam. Salg,24.108,2,Lejlighed,46,1895,,Aktuel værdi
"Laurids Skaus Gade 7, ST. TV2200 København N",vn N,2.195.000,21-12-2015,Alm. Salg,41.415,2,Lejlighed,53,1905,0 %,Aktuel værdi
"Baldersgade 50, 2. TH2200 København N",vn N,1.600.000,21-12-2015,Fam. Salg,19.512,2,Lejlighed,82,1902,,Aktuel værdi
"Bregnerødgade 21, 4. TH2200 København N",vn N,2.335.000,20-12-2015,Alm. Salg,34.338,3,Lejlighed,68,1930,,Aktuel værdi
"Allersgade 2, 2. MF2200 København N",vn N,2.175.000,18-12-2015,Alm. Salg,31.071,2,Lejlighed,70,1990,-5 %,Aktuel værdi
"Egegade 10, 4. TH2200 København N",vn N,2.460.000,18-12-2015,Alm. Salg,45.555,2,Lejlighed,54,1893,-2 %,Aktuel værdi
"Lundtoftegade 93, 1. TV2200 København N",vn N,1.495.000,18-12-2015,Fam. Salg,20.479,3,Lejlighed,73,1930,,Aktuel værdi
"Lundtoftegade 97, 3. TH2200 København N",vn N,1.088.000,17-12-2015,Fam. Salg,19.087,2,Lejlighed,57,1930,,Aktuel værdi
"Thyrasgade 4, 5. 6012200 København N",vn N,1.975.000,17-12-2015,Alm. Salg,32.916,2,Lejlighed,60,1974,-1 %,Aktuel værdi
"Fenrisgade 4, 4. TH2200 København N",vn N,2.150.000,17-12-2015,Alm. Salg,34.677,2,Lejlighed,62,1913,-2 %,Aktuel værdi
"Gormsgade 10, 2. 672200 København N",vn N,1.950.000,16-12-2015,Alm. Salg,30.468,2,Lejlighed,64,1965,-2 %,Aktuel værdi
"Heimdalsgade 42, 5. 602200 København N",vn N,1.095.000,16-12-2015,Alm. Salg,21.900,1,Lejlighed,50,1975,0 %,Aktuel værdi
"Gormsgade 1, 1. TV2200 København N",vn N,2.700.000,16-12-2015,Alm. Salg,28.421,4,Lejlighed,95,1905,-10 %,Aktuel værdi
"Sigynsgade 38, 2. TH2200 København N",vn N,1.750.000,15-12-2015,Fam. Salg,21.341,3,Lejlighed,82,1991,,Aktuel værdi
"Heimdalsgade 42, 3. 382200 København N",vn N,1.048.000,15-12-2015,Alm. Salg,20.549,1,Lejlighed,51,1975,0 %,Aktuel værdi
"Laurids Skaus Gade 5, ST. TV2200 København N",vn N,3.545.000,14-12-2015,Alm. Salg,35.808,4,Lejlighed,99,1905,-1 %,Aktuel værdi
"Egegade 10, 4. TV2200 København N",vn N,1.513.000,14-12-2015,Fam. Salg,29.096,2,Lejlighed,52,1893,,Aktuel værdi
"Sandbjerggade 40, 2. TV2200 København N",vn N,2.098.000,14-12-2015,Alm. Salg,40.346,2,Lejlighed,52,1935,0 %,Aktuel værdi
"Ydunsgade 1, 3. TH2200 København N",vn N,3.010.000,13-12-2015,Alm. Salg,36.265,4,Lejlighed,83,1901,-3 %,Aktuel værdi
"Peter Fabers Gade 22, ST. TH2200 København N",vn N,762.423,12-12-2015,Fam. Salg,14.949,2,Lejlighed,51,1893,,Aktuel værdi
"Thyrasgade 4, 5. 6032200 København N",vn N,1.985.000,11-12-2015,Alm. Salg,35.446,2,Lejlighed,56,1974,-1 %,Aktuel værdi
"Poppelgade 9, 32200 København N",vn N,1.600.000,11-12-2015,Alm. Salg,15.686,3,Lejlighed,102,1889,,Aktuel værdi
"Hamletsgade 4, 1. 1552200 København N",vn N,1.700.000,11-12-2015,Alm. Salg,25.757,2,Lejlighed,66,1975,,Aktuel værdi
"Husumgade 49, 2. TH2200 København N",vn N,1.147.500,10-12-2015,Fam. Salg,16.630,3,Lejlighed,69,1900,,Aktuel værdi
"Slejpnersgade 8, 1. TH2200 København N",vn N,1.995.000,09-12-2015,Alm. Salg,36.272,2,Lejlighed,55,1938,0 %,Aktuel værdi
"Dagmarsgade 30, 1. 452200 København N",vn N,1.360.000,09-12-2015,Alm. Salg,27.755,2,Lejlighed,49,1974,-3 %,Aktuel værdi
"Poppelgade 16, 4. TH2200 København N",vn N,2.125.000,09-12-2015,Alm. Salg,40.094,2,Lejlighed,53,1889,-1 %,Aktuel værdi
"Julius Bloms Gade 6, 4. TV2200 København N",vn N,4.350.000,09-12-2015,Alm. Salg,38.157,4,Lejlighed,114,1908,-3 %,Aktuel værdi
"Gormsgade 11, 2. TV2200 København N",vn N,3.500.000,07-12-2015,Alm. Salg,37.234,3,Lejlighed,94,1903,0 %,Aktuel værdi
"Julius Bloms Gade 5, 2. TV2200 København N",vn N,2.550.000,07-12-2015,Alm. Salg,38.059,2,Lejlighed,67,1905,-5 %,Aktuel værdi
"Nørre Allé 11A, 2. TV2200 København N",vn N,1.300.000,07-12-2015,Fam. Salg,16.883,3,Lejlighed,77,1900,,Aktuel værdi
"Esromgade 28, ST. TH2200 København N",vn N,788.905,06-12-2015,Alm. Salg,14.609,2,Lejlighed,54,1904,,Aktuel værdi
"Dagmarsgade 28, 2. 732200 København N",vn N,1.900.000,04-12-2015,Alm. Salg,28.787,1,Lejlighed,66,1974,-5 %,Aktuel værdi
"Dagmarsgade 24, 1. 1002200 København N",vn N,1.000.000,03-12-2015,Fam. Salg,17.543,2,Lejlighed,57,1974,,Aktuel værdi
"Blågårdsgade 24, ST. TV2200 København N",vn N,1.062.500,03-12-2015,Fam. Salg,15.858,3,Lejlighed,67,1872,,Aktuel værdi
"Laurids Skaus Gade 15, 2. TV2200 København N",vn N,4.075.000,03-12-2015,Alm. Salg,38.809,4,Lejlighed,105,1904,-2 %,Aktuel værdi
"Vølundsgade 29, 2. TV2200 København N",vn N,2.635.000,03-12-2015,Alm. Salg,33.354,3,Lejlighed,79,1905,-2 %,Aktuel værdi
"Ahornsgade 21, 2. TV2200 København N",vn N,2.498.000,03-12-2015,Alm. Salg,47.132,2,Lejlighed,53,1889,0 %,Aktuel værdi
"Hamletsgade 4, 1. 1462200 København N",vn N,1.675.000,03-12-2015,Alm. Salg,23.591,2,Lejlighed,71,1975,-7 %,Aktuel værdi
"Hamletsgade 22, 2. MF2200 København N",vn N,1.895.000,03-12-2015,Alm. Salg,35.092,2,Lejlighed,54,1949,0 %,Aktuel værdi
"Dagmarsgade 17, 2. 3032200 København N",vn N,1.300.000,03-12-2015,Fam. Salg,22.033,2,Lejlighed,59,1974,,Aktuel værdi
"Kronborggade 24, ST. TH2200 København N",vn N,1.440.000,02-12-2015,Fam. Salg,19.726,3,Lejlighed,73,1900,,Aktuel værdi
"Nørrebrogade 205, ST. TH2200 København N",vn N,438.000,02-12-2015,Fam. Salg,6.843,3,Lejlighed,64,1892,,Aktuel værdi
"Thyrasgade 4, 3. 4142200 København N",vn N,1.850.000,01-12-2015,Alm. Salg,30.833,2,Lejlighed,60,1974,-1 %,Aktuel værdi
"Blågårdsgade 24, ST. TH2200 København N",vn N,1.400.000,01-12-2015,Alm. Salg,40.000,1,Lejlighed,35,1872,0 %,Aktuel værdi
"Peter Fabers Gade 45, ST. TV2200 København N",vn N,1.875.000,30-11-2015,Alm. Salg,35.377,2,Lejlighed,53,1895,-1 %,Aktuel værdi
"Heimdalsgade 42, 2. 152200 København N",vn N,1.000.000,30-11-2015,Alm. Salg,20.408,1,Lejlighed,49,1975,-4 %,Aktuel værdi
"Sigynsgade 66, 2. TH2200 København N",vn N,2.615.000,30-11-2015,Alm. Salg,30.764,3,Lejlighed,85,1991,1 %,Aktuel værdi
"Rådmandsgade 40C, 2. 1022200 København N",vn N,1.045.000,30-11-2015,Alm. Salg,21.770,1,Lejlighed,48,1967,-5 %,Aktuel værdi
"Peter Fabers Gade 28, 3. TH2200 København N",vn N,1.925.000,29-11-2015,Alm. Salg,39.285,2,Lejlighed,49,1896,-4 %,Aktuel værdi
"Schleppegrellsgade 8, ST. TV2200 København N",vn N,2.246.000,29-11-2015,Fam. Salg,24.681,4,Lejlighed,91,1892,,Aktuel værdi
"Schleppegrellsgade 10, 1. TV2200 København N",vn N,1.980.065,28-11-2015,Fam. Salg,21.522,4,Lejlighed,92,1892,,Aktuel værdi
"Esromgade 10, ST. TH2200 København N",vn N,1.460.000,27-11-2015,Alm. Salg,27.547,2,Lejlighed,53,1902,-2 %,Aktuel værdi
Vølundsgade 10A2200 København N,vn N,700.000,27-11-2015,Alm. Salg,4.794,4,Rækkehus,146,1903,,Aktuel værdi
"Rådmandsgade 42A, 3. TV2200 København N",vn N,1.100.000,26-11-2015,Fam. Salg,20.000,2,Lejlighed,55,1933,,Aktuel værdi
"Birkegade 15A, 3. TV2200 København N",vn N,1.342.000,26-11-2015,Fam. Salg,25.807,2,Lejlighed,52,1892,,Aktuel værdi
"Julius Bloms Gade 25, 3. TV2200 København N",vn N,2.380.000,26-11-2015,Alm. Salg,40.338,2,Lejlighed,59,1934,1 %,Aktuel værdi
"Hamletsgade 22, 1. MF2200 København N",vn N,1.595.000,26-11-2015,Alm. Salg,29.537,2,Lejlighed,54,1949,0 %,Aktuel værdi
"Rantzausgade 50A, 2. TH2200 København N",vn N,1.845.000,25-11-2015,Alm. Salg,43.928,2,Lejlighed,42,1889,0 %,Aktuel værdi
"Hamletsgade 28, 1. TV2200 København N",vn N,1.960.000,24-11-2015,Alm. Salg,35.000,2,Lejlighed,56,1938,3 %,Aktuel værdi
"Gormsgade 6, 2. 92200 København N",vn N,2.950.000,23-11-2015,Alm. Salg,31.720,3,Lejlighed,93,1965,-2 %,Aktuel værdi
"Sigynsgade 64, 1. TV2200 København N",vn N,2.420.000,23-11-2015,Alm. Salg,29.156,3,Lejlighed,83,1991,-3 %,Aktuel værdi
"Julius Bloms Gade 6, 5. 32200 København N",vn N,795.000,23-11-2015,Alm. Salg,29.444,1,Lejlighed,27,1908,0 %,Aktuel værdi
"Gormsgade 6, 5. 222200 København N",vn N,1.800.000,21-11-2015,Fam. Salg,20.930,3,Lejlighed,86,1965,,Aktuel værdi
"Tømrergade 7, ST. 32200 København N",vn N,1.800.000,20-11-2015,Alm. Salg,36.734,2,Lejlighed,49,1963,0 %,Aktuel værdi
"Ydunsgade 1, 1. TH2200 København N",vn N,3.030.000,20-11-2015,Alm. Salg,36.506,4,Lejlighed,83,1901,-2 %,Aktuel værdi
"Åboulevard 34A, ST. TH2200 København N",vn N,2.820.000,19-11-2015,Alm. Salg,27.115,3,Lejlighed,104,1885,-3 %,Aktuel værdi
"Dagmarsgade 17, 4. 5082200 København N",vn N,411.500,18-11-2015,Fam. Salg,6.974,2,Lejlighed,59,1974,,Aktuel værdi
"Hamletsgade 8, 1. 692200 København N",vn N,1.048.000,18-11-2015,Alm. Salg,22.782,1,Lejlighed,46,1975,-4 %,Aktuel værdi
"Husumgade 49, 4. TH2200 København N",vn N,2.898.000,17-11-2015,Alm. Salg,43.253,3,Lejlighed,67,1900,0 %,Aktuel værdi
"Bjelkes Allé 12, 3. 62200 København N",vn N,1.500.000,17-11-2015,Alm. Salg,28.846,1,Lejlighed,52,1962,-6 %,Aktuel værdi
"Vølundsgade 22, ST. TH2200 København N",vn N,1.798.000,16-11-2015,Alm. Salg,29.966,2,Lejlighed,60,1907,0 %,Aktuel værdi
"Poppelgade 3, 5. TH2200 København N",vn N,892.500,16-11-2015,Fam. Salg,17.163,2,Lejlighed,52,1860,,Aktuel værdi
"Lundtoftegade 82, ST. TV2200 København N",vn N,1.402.500,16-11-2015,Fam. Salg,15.244,4,Lejlighed,92,1907,,Aktuel værdi
